0.037891 0.000176 0.000106 
 0.039059 0.000075 0.000024 
 0.037807 0.000184 0.000120 
 0.036663 0.000280 0.000190 
 0.037976 0.000168 0.000094 
 0.039052 0.000076 0.000025 
 0.037722 0.000191 0.000135 
 0.036671 0.000280 0.000187 
 0.038060 0.000161 0.000083 
 0.039039 0.000077 0.000027 
 0.037638 0.000199 0.000151 
 0.036685 0.000278 0.000182 
 0.038143 0.000153 0.000074 
 0.039019 0.000078 0.000030 
 0.037555 0.000206 0.000168 
 0.036704 0.000276 0.000174 
 0.038225 0.000146 0.000067 
 0.038993 0.000081 0.000034 
 0.037474 0.000214 0.000185 
 0.036728 0.000273 0.000165 
 0.038304 0.000139 0.000061 
 0.038960 0.000083 0.000039 
 0.037394 0.000221 0.000203 
 0.036757 0.000270 0.000154 
 0.038381 0.000132 0.000057 
 0.038922 0.000087 0.000045 
 0.037317 0.000228 0.000220 
 0.036791 0.000267 0.000141 
 0.038455 0.000126 0.000054 
 0.038877 0.000090 0.000052 
 0.037242 0.000234 0.000237 
 0.036830 0.000262 0.000128 
 0.038525 0.000119 0.000053 
 0.038828 0.000094 0.000062 
 0.037169 0.000240 0.000253 
 0.036874 0.000258 0.000114 
 0.038592 0.000113 0.000054 
 0.038773 0.000099 0.000073 
 0.037100 0.000246 0.000267 
 0.036923 0.000253 0.000100 
 0.038654 0.000108 0.000055 
 0.038714 0.000104 0.000085 
 0.037034 0.000252 0.000280 
 0.036976 0.000247 0.000086 
 0.038712 0.000103 0.000058 
 0.038650 0.000110 0.000100 
 0.036972 0.000257 0.000291 
 0.037034 0.000241 0.000072 
 0.038764 0.000098 0.000061 
 0.038582 0.000116 0.000116 
 0.036913 0.000262 0.000300 
 0.037095 0.000235 0.000060 
 0.038811 0.000094 0.000065 
 0.038510 0.000122 0.000135 
 0.036859 0.000266 0.000307 
 0.037160 0.000229 0.000049 
 0.038852 0.000090 0.000070 
 0.038435 0.000128 0.000155 
 0.036808 0.000269 0.000310 
 0.037229 0.000222 0.000039 
 0.038887 0.000086 0.000075 
 0.038358 0.000135 0.000177 
 0.036762 0.000273 0.000311 
 0.037300 0.000215 0.000031 
 0.038916 0.000084 0.000080 
 0.038277 0.000142 0.000201 
 0.036721 0.000275 0.000310 
 0.037375 0.000208 0.000026 
 0.038939 0.000081 0.000086 
 0.038195 0.000149 0.000227 
 0.036684 0.000277 0.000305 
 0.037451 0.000201 0.000023 
 0.038955 0.000079 0.000092 
 0.038110 0.000157 0.000254 
 0.036652 0.000279 0.000297 
 0.037530 0.000193 0.000022 
 0.038964 0.000078 0.000099 
 0.038025 0.000164 0.000282 
 0.036626 0.000279 0.000286 
 0.037610 0.000186 0.000024 
 0.038968 0.000077 0.000106 
 0.037938 0.000172 0.000312 
 0.036604 0.000280 0.000273 
 0.037690 0.000179 0.000029 
 0.038964 0.000077 0.000114 
 0.037850 0.000180 0.000342 
 0.036588 0.000279 0.000257 
 0.037771 0.000171 0.000036 
 0.038955 0.000077 0.000122 
 0.037763 0.000187 0.000372 
